fold,auc,acc_0.5,recall_0.5,precision_0.5,acc_0.3,recall_0.3,precision_0.3,acc_0.2,recall_0.2,precision_0.2,acc_0.15,recall_0.15,precision_0.15,acc_0.1,recall_0.1,precision_0.1,acc_0.08,recall_0.08,precision_0.08,acc_0.05,recall_0.05,precision_0.05,opt_thresh_0.99,opt_acc_0.99,opt_recall_0.99,opt_thresh_0.995,opt_acc_0.995,opt_recall_0.995,opt_thresh_1.0,opt_acc_1.0,opt_recall_1.0
1,0.9932365498727055,0.9775954559798044,0.924812030075188,0.6684782608695652,0.9681287472388767,0.9624060150375939,0.5714285714285714,0.9532975702114231,0.9699248120300752,0.4725274725274725,0.9409908488482172,0.9924812030075187,0.41509433962264153,0.90785736825497,0.9924812030075187,0.3120567375886525,0.8873461659829599,0.9924812030075187,0.27049180327868855,0.8472704323130325,0.9924812030075187,0.2146341463414634,0.17,0.9473019880088356,0.9924812030075187,0.02,0.7399810665825182,1.0,0.02,0.7399810665825182,1.0
2,0.9941082944515439,0.9801199116440518,0.9323308270676691,0.6966292134831461,0.9671820763647838,0.9774436090225563,0.5627705627705628,0.9529820132533923,0.9924812030075187,0.4714285714285714,0.9435153045124645,0.9924812030075187,0.4258064516129032,0.9217418744083307,0.9924812030075187,0.3482849604221636,0.9072262543389081,0.9924812030075187,0.31058823529411766,0.8520037866834964,0.9924812030075187,0.22,0.2,0.9529820132533923,0.9924812030075187,0.02,0.6222783212369832,1.0,0.02,0.6222783212369832,1.0
3,0.9935266502334915,0.9813762626262627,0.9473684210526315,0.7078651685393258,0.9731691919191919,0.9548872180451128,0.616504854368932,0.9665404040404041,0.9624060150375939,0.5589519650655022,0.9577020202020202,0.9699248120300752,0.4980694980694981,0.9416035353535354,0.9924812030075187,0.4177215189873418,0.9255050505050505,0.9924812030075187,0.35967302452316074,0.8933080808080808,0.9924812030075187,0.2814498933901919,0.09999999999999999,0.9416035353535354,0.9924812030075187,0.01,0.6931818181818182,1.0,0.01,0.6931818181818182,1.0
4,0.9925530465372657,0.9766414141414141,0.8947368421052632,0.664804469273743,0.9700126262626263,0.9473684210526315,0.5887850467289719,0.9599116161616161,0.9548872180451128,0.5120967741935484,0.9535984848484849,0.9699248120300752,0.4742647058823529,0.9412878787878788,0.9699248120300752,0.41479099678456594,0.9352904040404041,0.9774436090225563,0.39156626506024095,0.9166666666666666,0.9924812030075187,0.3341772151898734,0.05,0.9166666666666666,0.9924812030075187,0.5,0.0,0.0,0.5,0.0,0.0
5,0.9964716333293407,0.983270202020202,0.9393939393939394,0.7337278106508875,0.9756944444444444,0.9696969696969697,0.6368159203980099,0.9690656565656566,0.9772727272727273,0.5758928571428571,0.9627525252525253,0.9924242424242424,0.5282258064516129,0.9535984848484849,0.9924242424242424,0.4729241877256318,0.94760101010101,1.0,0.4429530201342282,0.9264520202020202,1.0,0.36164383561643837,0.15000000000000002,0.9627525252525253,0.9924242424242424,0.08,0.94760101010101,1.0,0.08,0.94760101010101,1.0
