cid,formula,polar_id,nonpolar_id,polar_spacegroup,nonpolar_spacegroup,structure_file,Ps,polarization_change_norm,dw_depth,path_barrier,gap_polar,gap_min,is_switchable,pol_smoothness_max,energy_smoothness
cid_56c2cec74550cd25e92d9745,Mo(HO2)2,mp-625600,mp-626577,1,2,structures/cid_56c2cec74550cd25e92d9745_polar.json,0.2582520603815943,0.2426394223740693,-1.0506192857135943,0.0,3.2043999999999997,3.1748,1,0.0714365261688962,1.3300690464587356e-06
cid_56c2cf5b4550cd25e92d989b,Al(HO)3,mp-626435,mp-626414,1,2,structures/cid_56c2cf5b4550cd25e92d989b_polar.json,0.11367406797505554,0.11684515684569968,9.805356071429294,9.805356071429294,5.0108,4.792400000000001,1,0.00018197671290604163,9.38810265420137e-06
cid_56c2cf7c4550cd25e92d98ed,Mo(HO2)2,mp-626586,mp-626577,1,2,structures/cid_56c2cf7c4550cd25e92d98ed_polar.json,17.314449823564097,16.27516280207462,-77.32342285714289,67.70542928571466,2.1433,2.0303,0,0.3528550819836956,0.0019250640868612844
cid_56c2ceff4550cd25e92d97c7,U3(HO5)2,mp-626114,mp-626104,1,2,structures/cid_56c2ceff4550cd25e92d97c7_polar.json,23.863675026701618,22.950225136779864,33.53437666666714,151.13880733333394,1.8482999999999998,1.764,0,0.2936430900964478,0.0001833747933807338
cid_56c2ceff4550cd25e92d97c6,U3(HO5)2,mp-626114,mp-626062,1,2,structures/cid_56c2ceff4550cd25e92d97c6_polar.json,23.86362598045789,22.95017880211903,-33.704994666665655,25.182883333334516,1.8482999999999998,1.8482999999999998,1,0.07411860455210853,0.00015916286109336278
cid_56c2cefa4550cd25e92d97bc,NaHO,mp-626000,mp-23940,4,11,structures/cid_56c2cefa4550cd25e92d97bc_polar.json,10.704547268951062,10.704547267007257,1.8497233333327756,2.61610666666634,2.9884,2.8169,1,0.0009125957823221237,2.3872792793837744e-06
cid_56c2cf814550cd25e92d98fe,Mo(HO2)2,mp-626582,mp-626577,1,2,structures/cid_56c2cf814550cd25e92d98fe_polar.json,38.827169767460504,39.1726829066601,-47.647417857143104,61.50137499999975,2.5118,2.2683999999999997,0,0.19442821706346852,0.0012903370610833074
cid_56c2bec64550cd25e92d741f,CuBi(WO4)2,mp-565192,mp-615173,1,2,structures/cid_56c2bec64550cd25e92d741f_polar.json,1.0715538571472998,0.8239216579822344,0.08955916666675279,0.08955916666675279,1.3261000000000003,1.2749000000000001,1,0.005473183848741318,1.5135654698273235e-06
cid_56c2bdb94550cd25e92d72bd,H10C3NClO4,mp-554570,mp-560498,4,11,structures/cid_56c2bdb94550cd25e92d72bd_polar.json,0.30840651021867754,0.30840651021867754,-0.48032473684234134,0.0,5.6126,5.6126,1,0.0022172989579272396,1.9034034888161302e-06
cid_56c2be784550cd25e92d73cb,Cs2HgI4,mp-567594,mp-28421,4,11,structures/cid_56c2be784550cd25e92d73cb_polar.json,0.3363772583543227,0.33637725835464277,-0.7571328571427394,0.0,2.114,2.0672,1,0.0017859878932234804,6.6926777736653105e-06
cid_56c2bf1e4550cd25e92d74bc,K2ZnBr4,mp-23535,mp-23495,4,11,structures/cid_56c2bf1e4550cd25e92d74bc_polar.json,1.9486464683118552,1.9486464683118552,1.0260692857144704,1.0260692857144704,3.6744000000000003,3.6559999999999997,1,0.0010539437424274007,4.96643415582539e-06
cid_56c2c3224550cd25e92d7d68,BaCa(CO3)2,mp-644852,mp-6568,4,11,structures/cid_56c2c3224550cd25e92d7d68_polar.json,0.008266119944218256,0.008265569363080585,-15.758228999999346,0.0,4.7581,4.683,1,0.0012319584165657472,2.0628482452415305e-05
cid_56c2c9894550cd25e92d8c93,CuI,mp-673245,mp-22895,7,216,structures/cid_56c2c9894550cd25e92d8c93_polar.json,0.06533239750344973,0.04250001658325736,-3.4394937499997447,0.0,1.1656999999999993,1.1517999999999997,1,0.02476691799170588,7.450837151443202e-06
cid_56c2cf864550cd25e92d9908,RbHO,mp-626721,mp-643043,4,11,structures/cid_56c2cf864550cd25e92d9908_polar.json,10.52000604787037,10.52000604596955,7.409761666667514,30.965316666667242,3.3986,3.0816,1,0.0095419177100522,0.00016815181434535133
cid_56c2e6284550cd25e92dc4d2,BaCO3,mp-762225,mp-34195,4,11,structures/cid_56c2e6284550cd25e92dc4d2_polar.json,0.9612651443093486,0.9612651494739114,1.0368820000001833,764.401147,4.4577,0.11450000000000005,1,0.06143546992109888,0.0025718566395587475
cid_56c2e3d94550cd25e92dbf8d,KLaSiS4,mp-861938,mp-12924,4,11,structures/cid_56c2e3d94550cd25e92dbf8d_polar.json,7.425558822472706,7.425558822676746,2.745851428572088,2.745851428572088,2.8472000000000004,2.6917,1,0.000981854329617949,2.6954802771744004e-05
cid_56c2c0b54550cd25e92d787a,SrMgF4,mp-561022,mp-556290,4,11,structures/cid_56c2c0b54550cd25e92d787a_polar.json,10.748699271639234,10.748699271639234,34.8199340277775,34.8199340277775,6.6581,6.2242,1,0.0007712725891964693,1.5607603066348888e-05
cid_56c2d8204550cd25e92da978,Li2Co(CO3)2,mp-765128,mp-763828,4,14,structures/cid_56c2d8204550cd25e92da978_polar.json,1.2312861429309085,1.2312861429309085,-24.686510227271974,107.46189159090935,2.0892,0.8592,0,0.10393619530753548,0.016711177218177893
cid_56c2d8814550cd25e92daa3e,Li2Co(CO3)2,mp-765126,mp-763828,4,14,structures/cid_56c2d8814550cd25e92daa3e_polar.json,4.900651618156404,4.900651618156404,-19.13037000000095,116.57212090908953,2.1362,0.9048999999999999,0,0.113209144341823,0.015482093883802632
cid_56c2c1274550cd25e92d78f4,Ba2YF7,mp-768350,mp-777744,4,14,structures/cid_56c2c1274550cd25e92d78f4_polar.json,0.7027941352683859,0.7027941352683859,-64.42426050000006,0.0,6.5159,6.5159,1,0.0028809874542716943,4.5016759799461524e-05
cid_56c2cdbf4550cd25e92d9551,Cu2H10C6S3N4,mp-600236,mp-555729,4,14,structures/cid_56c2cdbf4550cd25e92d9551_polar.json,0.01647326084486704,0.016473260844866947,-7.265097800000397,20.813914799999722,2.7727000000000004,2.1145000000000005,1,0.001373669011878963,0.0006567491758977108
cid_56c2ccfb4550cd25e92d937f,CaB3H5O8,mp-560899,mp-705495,4,14,structures/cid_56c2ccfb4550cd25e92d937f_polar.json,0.6164959458192714,0.6164959458192714,4.396288235293255,21.977154705882462,5.6111,5.5385,1,0.002419972275898154,0.00020779610649659757
cid_56c2ceec4550cd25e92d97a7,Zn(HO)2,mp-625857,mp-625830,4,19,structures/cid_56c2ceec4550cd25e92d97a7_polar.json,0.5565078065032893,0.5565078060714915,-1.5538534999999243,2944.155945,2.9905999999999997,2.9753,0,0.012579870863402324,0.12678898930647384
cid_56c2be0b4550cd25e92d7330,H2O,mp-557082,mp-558226,4,19,structures/cid_56c2be0b4550cd25e92d7330_polar.json,13.47341455251172,13.47341455251172,-0.7808905555553025,165.5823494444437,5.481,4.769,1,0.028117171649880278,0.00011905134619075942
cid_56c2be0b4550cd25e92d732f,H2O,mp-557082,mp-558958,4,19,structures/cid_56c2be0b4550cd25e92d732f_polar.json,13.473425185691521,13.473425185691521,0.2386261111109178,27.691775277777886,5.481,5.3395,1,0.02725380889817628,3.2966018602150354e-05
cid_56c2e8624550cd25e92dc95e,SiO2,mp-972808,mp-559091,4,182,structures/cid_56c2e8624550cd25e92dc95e_polar.json,0.3772812860841822,0.3772812890001311,-9.821769166666883,2.6003341666660518,5.590599999999999,5.4848,1,0.0017813760933277248,9.601940715200924e-05
cid_56c2e2c64550cd25e92dbd7d,LiNiPO4,mp-763217,mp-761990,4,63,structures/cid_56c2e2c64550cd25e92dbd7d_polar.json,0.4136677095459791,0.4136677095459791,100.33645071428498,276.291099999999,3.9471,1.8476,0,0.13119626083664473,0.02461153932188792
cid_56c2ce794550cd25e92d96ae,HgC2(SN)2,mp-610992,mp-655275,5,12,structures/cid_56c2ce794550cd25e92d96ae_polar.json,0.9107018137555704,0.910701813140262,-2.305007142856752,0.0,2.1357,2.1357,1,0.00014866247338536336,7.461190709206165e-06
cid_56c2c2a34550cd25e92d7c61,SiO2,mp-555891,mp-559091,4,182,structures/cid_56c2c2a34550cd25e92d7c61_polar.json,0.0352873643681503,0.03528770481795638,-3.363003333333836,4.707071666667062,5.3892,5.3892,1,0.00022053122471879906,1.2538559725817825e-05
cid_56c2e2ca4550cd25e92dbd8a,LiNiPO4,mp-763217,mp-762173,4,62,structures/cid_56c2e2ca4550cd25e92dbd8a_polar.json,0.4120489674190413,0.4120489674190413,95.09461642857087,750.4312499999992,3.9471,0.15969999999999995,0,0.15116974965080945,0.013000451867030605
cid_56c2cd244550cd25e92d93c6,MgH8(ClO6)2,mp-989229,mp-865188,5,12,structures/cid_56c2cd244550cd25e92d93c6_polar.json,1.0086883649353005,1.0086883649303557,-18.05036760869605,342.13735521739164,5.1842,5.1842,1,0.027241486008022276,0.00941559122187544
cid_56c2c0f14550cd25e92d78c6,BaTi2O5,mp-555966,mp-3943,5,12,structures/cid_56c2c0f14550cd25e92d78c6_polar.json,15.310260776157179,15.310260776135928,3.140978958333207,3.140978958333207,2.2069000000000005,1.8924999999999996,1,0.01713477404526898,5.230116149427932e-06
cid_56c2d0074550cd25e92d9a24,Ag(CO)2,mp-600237,mp-654937,5,15,structures/cid_56c2d0074550cd25e92d9a24_polar.json,0.004571590373395742,0.004571590373395742,-0.5193063749997506,0.0,0.9916,0.9916,1,0.00045559444335227815,3.4136426779790963e-06
cid_56c2c6c04550cd25e92d8633,GaN5O14,mp-541950,mp-557954,5,82,structures/cid_56c2c6c04550cd25e92d8633_polar.json,0.029288959025705573,0.029288946162179443,2.1530070000004287,3.689617000000034,1.2656,1.1242999999999999,1,0.039654403278777714,1.0959644109667032e-05
cid_56c2cb7e4550cd25e92d8fb1,Li4CO4,mp-550320,mp-551848,5,121,structures/cid_56c2cb7e4550cd25e92d8fb1_polar.json,48.99224894650826,48.99224894689367,58.191649999998596,58.191649999998596,5.05,5.05,1,0.02459187661827793,9.122290317499462e-05
cid_56c2be134550cd25e92d7341,K4CO4,mp-551561,mp-549869,5,121,structures/cid_56c2be134550cd25e92d7341_polar.json,16.653438874330458,16.653438875650806,6.261023888888495,6.261023888888495,1.9965999999999997,1.9965999999999997,1,0.0009620375777381803,1.8221881902385284e-05
cid_56c2cb254550cd25e92d8efe,Na4CO4,mp-13274,mp-546551,5,121,structures/cid_56c2cb254550cd25e92d8efe_polar.json,39.17348758032185,39.173487580322686,26.34734222222246,27.119769999999654,2.1832000000000003,2.1832000000000003,1,0.010289541458542268,3.08240979038506e-05
cid_56c2c3204550cd25e92d7d63,Rb4CO4,mp-551176,mp-545760,5,121,structures/cid_56c2c3204550cd25e92d7d63_polar.json,14.60492992385901,14.604929924498254,3.062957777777875,3.062957777777875,1.4061000000000001,1.4061000000000001,1,0.0003960593923685201,5.78838973493832e-06
cid_56c2ceb84550cd25e92d9729,Pr(HO)3,mp-625452,mp-626361,6,11,structures/cid_56c2ceb84550cd25e92d9729_polar.json,0.15963338218912942,0.14299514426806084,1.5243907142847846,1.5243907142847846,3.7597999999999994,3.7597999999999994,1,0.00012459393521663487,4.0581043404750705e-06
cid_56c2ceb84550cd25e92d9728,Pr(HO)3,mp-625452,mp-625447,6,176,structures/cid_56c2ceb84550cd25e92d9728_polar.json,0.15936693150258113,0.14196660692732116,-0.1266785714300056,0.0,3.7597999999999994,3.7244,1,0.0002487052455665546,1.95506397928329e-06
cid_56c2cebb4550cd25e92d972e,Te(HO2)2,mp-625526,mp-625513,7,14,structures/cid_56c2cebb4550cd25e92d972e_polar.json,21.84277106067138,21.94843696329358,12.548795000000723,715.1851078571436,1.6931999999999998,1.6931999999999998,0,0.12548371266004368,0.02734598671089062
cid_56c2cf524550cd25e92d9885,H4SO5,mp-626448,mp-626109,7,14,structures/cid_56c2cf524550cd25e92d9885_polar.json,1.0519293034604245,1.0302899627475375,-0.09406649999998962,0.0,5.65,5.65,1,0.0009351487118595323,2.8245075829229423e-06
cid_56c2cea74550cd25e92d9705,H5IO6,mp-625256,mp-27773,7,14,structures/cid_56c2cea74550cd25e92d9705_polar.json,0.44336699166453186,0.3167005554400453,-1.1379889583329472,0.0,2.3256,2.1761999999999997,1,0.008245419178517914,4.2194067082671086e-05
cid_56c2cf5d4550cd25e92d98a0,PH3O4,mp-626450,mp-23902,7,14,structures/cid_56c2cf5d4550cd25e92d98a0_polar.json,4.251635037859239,4.08241526585695,-13.43375187500051,0.0,5.666,5.666,1,0.0006159716373088407,2.6958383001734625e-05
cid_56c2cea74550cd25e92d9706,H5IO6,mp-625256,mp-625174,7,14,structures/cid_56c2cea74550cd25e92d9706_polar.json,39.44756527313195,28.483235020084688,5.273250624999726,2604.899161041667,2.3256,2.0282,0,0.2254647991971315,0.21463100882725233
cid_56c2cf5d4550cd25e92d98a1,PH3O4,mp-626450,mp-626449,7,14,structures/cid_56c2cf5d4550cd25e92d98a1_polar.json,4.251608305575608,4.082390255898901,-2.8054403124997407,0.0,5.666,5.666,1,0.0004976722165373878,1.387105779224189e-06
cid_56c2cf5d4550cd25e92d98a2,PH3O4,mp-626450,mp-626464,7,14,structures/cid_56c2cf5d4550cd25e92d98a2_polar.json,4.2515860154364695,4.082368758203603,10.130240312499872,507.78022968749957,5.666,5.630199999999999,0,0.025298776148673548,0.02035906251996176
cid_56c2c1134550cd25e92d78e7,Ag2BiO3,mp-561113,mp-558712,7,52,structures/cid_56c2c1134550cd25e92d78e7_polar.json,20.601016253857185,14.528007315217412,2.5263750000004137,2.5263750000004137,0.5096000000000003,0.09430000000000005,0,0.9176231347121758,6.364706370929726e-06
cid_56c2c6ed4550cd25e92d8668,KAuCl4,mp-27181,mp-568986,7,14,structures/cid_56c2c6ed4550cd25e92d8668_polar.json,0.2613564047128348,0.2747173515480337,0.13235541666656303,0.13235541666656303,1.3919,1.3387000000000002,1,0.0016552237390677926,2.2673287323670197e-06
cid_56c2cf844550cd25e92d9905,Al(HO)3,mp-626587,mp-626605,7,61,structures/cid_56c2cf844550cd25e92d9905_polar.json,8.10831018929221,8.11134611772383,8.066327321428979,29.068020535715,4.9505,4.7738,1,0.002667631373169332,0.0001413183515095371
cid_56c2e5ba4550cd25e92dc3b2,Ti3(BiO3)4,mp-723064,mp-23335,7,139,structures/cid_56c2e5ba4550cd25e92dc3b2_polar.json,58.15000754084115,58.0511491220694,61.85247499999935,61.85247499999935,2.3579,1.3464,1,0.03826487409208581,0.00022263565756031693
cid_56c2ce7e4550cd25e92d96ba,K4CO4,mp-605843,mp-549869,8,121,structures/cid_56c2ce7e4550cd25e92d96ba_polar.json,8.760273421342635,10.158982344529756,2.4171494444447106,2.4171494444447106,2.1884,2.1884,1,0.008664457065674246,8.124661406033968e-06
