fold,accuracy,recall,precision,f1,auc
1,0.9763560500695411,0.8270676691729323,0.9090909090909091,0.8661417322834646,0.9687321752657506
2,0.9714683368128044,0.9473684210526315,0.7875,0.8600682593856656,0.9878511462705843
3,0.9770354906054279,0.9172932330827067,0.8472222222222222,0.8808664259927798,0.9898000369020712
4,0.953375086986778,0.9022556390977443,0.6896551724137931,0.7817589576547231,0.9758406753079016
5,0.9784272790535838,0.9166666666666666,0.8581560283687943,0.8864468864468864,0.9864681295715778
