filepath,formula,spacegroup_number,spacegroup_symbol,num_atoms,endpoint,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na4Mg(NiO3)2/mp_2224805_mp_2218772_cost_0.4163/1_normalized.vasp,Na4Mg(NiO3)2,1,P1,13,1,0.9999918937683105,0.9769764542579651,True,True,True,0.9884841740131378
/home/ubuntu/ai_wh/wh-ai/new_data/database/NaMg6BO7/mp_1030690_mp_1030699_cost_0.1723/1_normalized.vasp,NaMg6BO7,99,P4mm,15,1,0.9754600524902344,0.9999927282333374,True,True,True,0.9877263903617859
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na7MgSbO6/mp_2227616_mp_2242232_cost_0.2569/1_normalized.vasp,Na7MgSbO6,146,R3,15,1,0.9995194673538208,0.9758996367454529,True,True,True,0.9877095520496368
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na4Mg(BiO3)2/mp_2218486_mp_2218660_cost_0.2468/1_normalized.vasp,Na4Mg(BiO3)2,8,Cm,13,1,0.9782694578170776,0.9966064691543579,True,True,True,0.9874379634857178
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgSb2(O2F)2/mp_2223325_mp_2223070_cost_0.1950/1_normalized.vasp,MgSb2(O2F)2,1,P1,9,1,0.9999890327453613,0.9743275046348572,True,True,True,0.9871582686901093
/home/ubuntu/ai_wh/wh-ai/new_data/database/Mg3Si2O9/mp_725197_mp_1103891_cost_0.3581/1_normalized.vasp,Mg3Si2O9,8,Cm,14,1,0.9725110530853271,0.999991774559021,True,True,True,0.9862514138221741
/home/ubuntu/ai_wh/wh-ai/new_data/database/U2Si3Ru/mp_1216609_mp_1216891_cost_0.1823/1_normalized.vasp,U2Si3Ru,25,Pmm2,12,1,0.9998599290847778,0.971318781375885,True,True,True,0.9855893552303314
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgZn2(WO4)2/mp_2218543_mp_2218604_cost_0.2868/1_normalized.vasp,MgZn2(WO4)2,5,C2,13,1,0.9694878458976746,0.9999943971633911,True,True,True,0.9847411215305328
/home/ubuntu/ai_wh/wh-ai/new_data/database/VInO4/mp_22443_mp_1102003_cost_0.3541/1_normalized.vasp,VInO4,63,Cmcm,12,1,0.9859763383865356,0.9833347201347351,True,True,True,0.9846555292606354
/home/ubuntu/ai_wh/wh-ai/new_data/database/InPb/mp_1184798_mp_1223654_cost_0.0311/1_normalized.vasp,InPb,8,Cm,2,1,0.9687367081642151,0.9999903440475464,True,True,True,0.9843635261058807
