epoch,train_loss,val_loss,lattice_mae,composition_mae,spacegroup_mae
1,429.26080081860226,0.0,0.0,0.0,0.0
2,35.43267606695493,0.0,0.0,0.0,0.0
3,17.927533974250156,0.0,0.0,0.0,0.0
4,14.57672589023908,0.0,0.0,0.0,0.0
5,12.64694527288278,0.0,0.0,0.0,0.0
6,11.398797929286957,0.0,0.0,0.0,0.0
7,10.632769038279852,0.0,0.0,0.0,0.0
8,8.688007434209188,0.0,0.0,0.0,0.0
9,8.1404961074392,0.0,0.0,0.0,0.0
10,6.962499688069026,2.356143642874325,1.6707476377487183,0.12223351001739502,24.73024559020996
11,6.423289055625598,0.0,0.0,0.0,0.0
12,6.2772802611192065,0.0,0.0,0.0,0.0
13,5.377622112631798,0.0,0.0,0.0,0.0
14,5.0709264899293585,0.0,0.0,0.0,0.0
15,4.260079860687256,0.0,0.0,0.0,0.0
16,4.681238918254773,0.0,0.0,0.0,0.0
17,4.45602843662103,0.0,0.0,0.0,0.0
18,4.3765390527745085,0.0,0.0,0.0,0.0
19,3.8177028174201646,0.0,0.0,0.0,0.0
20,4.219757277518511,0.9136755221030292,1.0835660696029663,0.11767683178186417,21.81293487548828
21,3.7489880435168743,0.0,0.0,0.0,0.0
22,3.5310166751345,0.0,0.0,0.0,0.0
23,3.2006195994714894,0.0,0.0,0.0,0.0
24,2.93153656894962,0.0,0.0,0.0,0.0
25,3.072788535306851,0.0,0.0,0.0,0.0
26,3.6293646370371184,0.0,0.0,0.0,0.0
27,2.5619934958716235,0.0,0.0,0.0,0.0
28,2.9376261346042156,0.0,0.0,0.0,0.0
29,2.6616347630818686,0.0,0.0,0.0,0.0
30,2.690263893455267,1.0106265650076025,1.0699669122695923,0.1155134066939354,17.90439224243164
31,2.81231502443552,0.0,0.0,0.0,0.0
32,2.6338992789387703,0.0,0.0,0.0,0.0
33,2.669556014239788,0.0,0.0,0.0,0.0
34,2.380097902690371,0.0,0.0,0.0,0.0
35,2.319552299877008,0.0,0.0,0.0,0.0
36,2.5813027818997702,0.0,0.0,0.0,0.0
37,2.237907327711582,0.0,0.0,0.0,0.0
38,2.3836417719721794,0.0,0.0,0.0,0.0
39,2.2458067970971265,0.0,0.0,0.0,0.0
40,2.110001110782226,0.4035610416356255,0.650310218334198,0.11068494617938995,14.481908798217773
41,2.057641588151455,0.0,0.0,0.0,0.0
42,1.8921550959348679,0.0,0.0,0.0,0.0
43,1.9316071296731632,0.0,0.0,0.0,0.0
44,1.918304084489743,0.0,0.0,0.0,0.0
45,1.9184302451709907,0.0,0.0,0.0,0.0
46,1.8992355701824029,0.0,0.0,0.0,0.0
47,2.0421996315320334,0.0,0.0,0.0,0.0
48,1.6387559585273266,0.0,0.0,0.0,0.0
49,1.5730495247989893,0.0,0.0,0.0,0.0
50,1.619061906511585,0.4369162934667924,0.7365679144859314,0.10909873247146606,14.005404472351074
51,1.6812851938108604,0.0,0.0,0.0,0.0
52,1.541185121362408,0.0,0.0,0.0,0.0
53,1.8533172234892845,0.0,0.0,0.0,0.0
54,1.5602300614118576,0.0,0.0,0.0,0.0
55,1.5024226009845734,0.0,0.0,0.0,0.0
56,1.6360999755561352,0.0,0.0,0.0,0.0
57,1.3800714494039614,0.0,0.0,0.0,0.0
58,1.4807939020295937,0.0,0.0,0.0,0.0
59,1.4303774231423934,0.0,0.0,0.0,0.0
60,1.4477925493071477,0.6045156279030968,0.8203523755073547,0.10900118201971054,12.45753002166748
61,1.433574166148901,0.0,0.0,0.0,0.0
62,1.3834037519991398,0.0,0.0,0.0,0.0
63,1.4471986386924982,0.0,0.0,0.0,0.0
64,1.3277916436394055,0.0,0.0,0.0,0.0
65,1.3259826420495908,0.0,0.0,0.0,0.0
66,1.283405312647422,0.0,0.0,0.0,0.0
67,1.1948993590970833,0.0,0.0,0.0,0.0
68,1.1911987184236448,0.0,0.0,0.0,0.0
69,1.1713499650359154,0.0,0.0,0.0,0.0
70,1.2067406382411718,0.48324109350933747,0.7658728957176208,0.10488339513540268,12.039217948913574
71,1.210403325036168,0.0,0.0,0.0,0.0
72,1.117890325685342,0.0,0.0,0.0,0.0
73,1.1774223356818159,0.0,0.0,0.0,0.0
74,1.1871723824491103,0.0,0.0,0.0,0.0
75,1.1161794094368815,0.0,0.0,0.0,0.0
76,1.1525267694766324,0.0,0.0,0.0,0.0
77,1.1168128093704581,0.0,0.0,0.0,0.0
78,1.0634120584776003,0.0,0.0,0.0,0.0
79,1.1031138667215903,0.0,0.0,0.0,0.0
80,1.0537236649543047,0.2579023592612323,0.502244770526886,0.10328821837902069,11.5655517578125
81,1.0706356813510258,0.0,0.0,0.0,0.0
82,1.0844402617464464,0.0,0.0,0.0,0.0
83,0.997063597664237,0.0,0.0,0.0,0.0
84,0.9923507813364267,0.0,0.0,0.0,0.0
85,1.0621377862989902,0.0,0.0,0.0,0.0
86,1.0449601064125698,0.0,0.0,0.0,0.0
87,1.0184020934005578,0.0,0.0,0.0,0.0
88,1.0043832591424386,0.0,0.0,0.0,0.0
89,1.0389078014219801,0.0,0.0,0.0,0.0
90,0.990956819926699,0.27269340350347404,0.5304948687553406,0.10127773135900497,10.816611289978027
91,0.9778093863278627,0.0,0.0,0.0,0.0
92,0.9483075266083082,0.0,0.0,0.0,0.0
93,1.0007120209435623,0.0,0.0,0.0,0.0
94,1.0047327680513263,0.0,0.0,0.0,0.0
95,0.9628404087076584,0.0,0.0,0.0,0.0
96,0.9254370701188842,0.0,0.0,0.0,0.0
97,0.9550698467840751,0.0,0.0,0.0,0.0
98,0.9240023878713449,0.0,0.0,0.0,0.0
99,0.9749647279580435,0.0,0.0,0.0,0.0
100,1.0128314839676023,0.32867134581593904,0.5912736654281616,0.10155582427978516,10.442138671875
