generated_id,generated_formula,mp_id,mp_formula,mp_spacegroup,total_score,composition_match,lattice_score,volume_score,spacegroup_match,mp_volume,mp_a,mp_b,mp_c,mp_alpha,mp_beta,mp_gamma,mp_energy_above_hull,mp_band_gap,mp_is_stable,mp_is_polar,mp_point_group
14,O-H-Ga,mp-626729,Ga(HO)3,148,89.70047096759419,100.0,92.51048028268667,99.1090143432693,False,205.6926923861034,6.459478939276451,6.459478937020933,6.459478448892394,109.70107646208048,109.70107650711702,109.70106538755725,0.012996393214285001,3.9181,False,False,-3
31,H-Ba-O,mp-23904,BaH4O3,26,89.3610286613094,100.0,92.57386248847332,97.30088395171872,False,170.24489277765895,3.93115047,6.28136558,6.89446156,90.0,90.0,90.0,0.0,4.2591,True,True,mm2
9,O-Sc-Ti,mp-675128,Sc4Ti3O12,2,89.35719877324861,100.0,93.97070403063668,94.83726181262885,False,419.25504005541933,5.923499,6.0891989915390345,12.15852110746558,99.42346418217214,99.73031761781534,98.60819883326384,0.036826084999965,2.7659000000000002,False,False,-1
31,H-Ba-O,mp-642653,BaH2O3,26,89.1535869436268,100.0,92.92812860478836,95.64370965975442,False,167.5414097511015,4.024363,6.146455,6.7733,90.0,90.0,90.0,0.32154235291666905,0.0,False,True,mm2
31,H-Ba-O,mp-626726,BaH4O3,11,88.99356707793218,100.0,91.59751849969133,97.1721780152011,False,170.03180328554146,4.190530390340408,6.265010515513795,7.0924995008707175,65.94374042117968,90.00121106678485,90.00125560784195,0.0033984993749980002,3.9287,False,False,2/m
31,H-Ba-O,mp-626735,BaH4O3,1,88.82941032768322,100.0,92.00870810095854,95.63181246173863,False,182.82619088700406,4.176213,6.439503848621336,7.206906554798251,70.63074735006504,89.39181226846853,89.31601162411334,0.014287536874999,3.9758,False,True,1
31,H-Ba-O,mp-642649,BaH2O3,11,88.41396530913927,100.0,91.71448172486072,94.06948352719007,False,165.05158836347,4.010112,6.245274,6.97928853405682,70.78312803513239,90.0,90.0,0.28184168625,0.0,False,False,2/m
37,O-Sr-I-H,mp-643385,SrHIO,62,87.7727549183704,100.0,91.8226985314996,90.67405216172769,False,364.69088136724486,4.293084,7.800261,10.890464,90.0,90.0,90.0,0.0,3.742499999999999,True,False,mmm
43,N-Cs-O,mp-22628,CsNO3,59,87.26970744689719,100.0,90.59324856993364,90.31035223710211,False,173.52384983348455,5.55043639,5.07934978,6.15494142,90.0,90.0,90.0,0.004369773555554,3.0919,False,False,mmm
90,N-Ge-O,mp-779457,Ge2N2O,1,86.46313058233686,100.0,86.43629721951123,56.05213277753962,True,273.6202752689121,5.46876,5.619191169903458,10.476083558570206,89.72396479207292,104.89705353691697,117.45961606053407,0.10729504499999801,1.7353,False,True,1
90,N-Ge-O,mp-4187,Ge2N2O,36,86.03782954278986,100.0,87.79024819010168,89.05621338127138,False,138.24118021775664,5.12683769,5.490459960069818,5.490460091250187,116.55834739981174,90.0,90.0,0.0018014144999980001,2.6165000000000003,False,True,mm2
67,O-Ba-I,mp-1182264,BaIO5,2,85.39980933353469,100.0,90.00154811819452,81.99633746083309,False,277.46361245546353,4.844413,7.98789233648132,8.020038744505042,111.32549739383226,90.939288248361,104.78587317763194,0.627135464553573,0.23509999999999903,False,False,-1
67,O-Ba-I,mp-726336,BaIO5,2,84.68281794587479,100.0,89.42049608257464,79.42822158486833,False,286.4347148411319,5.469467,6.983321729876478,7.623974329421696,79.88605008206846,88.80990323167967,87.8121224212002,0.7259633216964301,0.0,False,False,-1
37,O-Sr-I-H,mp-1208664,SrH(IO3)2,15,84.67455949525448,100.0,78.93333761229626,97.73945665475398,False,338.32805227070594,7.623623857572788,7.623623857572788,8.71501088462992,55.50862690933433,55.50862690933433,63.61238453164213,0.370611115818179,3.1479,False,False,2/m
90,N-Ge-O,mp-777483,Ge2N2O,9,84.52739041290423,100.0,85.67614798184054,85.20369309630016,False,133.6018589244851,5.572861876926791,5.572861876926791,5.358348625027864,81.2123210738505,81.2123210738505,122.19689891599802,0.07099930749999901,2.3193,False,True,m
67,O-Ba-I,mp-1182344,BaIO5,2,84.32859787490992,100.0,88.07623860610558,80.0095718138648,False,284.35347776798744,4.934186020272644,8.088057840663973,7.933447879753733,114.61303153747065,98.48846916823831,88.97513067622,0.627944277410716,0.15100000000000002,False,False,-1
113,O-Si-H,mp-626083,Si2H2O5,9,84.273477699183,100.0,84.17994021210143,86.55249312473751,False,245.87583075465852,8.970637303240222,8.970637303240222,5.2222160317049315,76.15780689490887,76.15780689490887,37.204511427370804,0.049493659537035,5.3812,False,True,m
37,O-Sr-I-H,mp-23957,SrH2I2O7,15,84.05955116545717,100.0,79.30215809761111,94.0189791564664,False,351.7162204555341,7.6633723200473565,7.6633723200473565,8.99054961700885,55.77591016429415,55.77591016429415,61.955686047757894,0.017200927291666,3.5414,False,False,2/m
