fold,auc,s1_thresh,s2_thresh,accuracy,recall,precision,f1
1,0.9930186137279958,0.02,0.4,0.9775954559798044,0.9473684210526315,0.6631578947368421,0.7801857585139319
2,0.9931275818003507,0.02,0.4,0.9816976964342063,0.9172932330827067,0.7218934911242604,0.8079470198675497
3,0.9934969218763547,0.02,0.5,0.9810606060606061,0.9172932330827067,0.7134502923976608,0.8026315789473685
4,0.9881309534131869,0.15,0.4,0.9785353535353535,0.8796992481203008,0.6923076923076923,0.7748344370860927
5,0.9962196071385795,0.02,0.3,0.9810606060606061,0.9545454545454546,0.7,0.8076923076923077
