material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe
mp-30294,Sr2SnS4,40,Ama2,14,0.0,True,7.64384003559826e-06,0.9997711777687073,False,True,False,0.49988941080437144,True
mp-1014244,ZrZnN2,156,P3m1,4,0.0,True,1.4598839698010124e-05,0.9996860027313232,False,True,False,0.4998503007855106,True
mp-1245125,MoO3,1,P1,100,0.5891991011375001,False,0.9993901252746582,0.00016649282770231366,True,False,False,0.49977830905118026,True
mp-3870,Sr2Nb2O7,36,Cmc2_1,22,0.0,True,9.485699411015958e-05,0.9994021654129028,False,True,False,0.4997485112035065,True
mp-7684,Tl3AsSe3,160,R3m,7,0.0,True,1.2525778402050491e-05,0.9994705319404602,False,True,False,0.49974152885943113,True
mp-1175,SrS3,41,Aea2,8,0.032346978593750006,False,2.0138968466199003e-05,0.9991913437843323,False,True,False,0.49960574137639924,True
mp-10097,Na3Sr3GaAs4,186,P6_3mc,22,0.0,True,0.9988555908203125,2.5283557988586836e-05,True,False,False,0.49944043718915054,True
mp-6980,ScCuS2,156,P3m1,4,0.0,True,1.6169282389455475e-05,0.9984204769134521,False,True,False,0.4992183230979208,True
mp-1245095,GaN,1,P1,100,0.6822655215999991,False,7.392769475700334e-05,0.998212456703186,False,True,False,0.4991431921989715,True
mp-1190450,NaNbSe2O7,36,Cmc2_1,22,0.0,True,7.5437146733747795e-06,0.9970011115074158,False,True,False,0.4985043276110446,True
mp-3933,Mg2PN3,36,Cmc2_1,12,0.0,True,0.9954598546028137,1.7218168068211526e-05,True,False,False,0.49773853638544097,True
mp-1219606,RbSbMoO6,46,Ima2,18,0.0,True,0.0003272088069934398,0.9941510558128357,False,True,False,0.49723913230991457,True
mp-1244984,GaN,1,P1,100,0.7416738018000011,False,0.006432167254388332,0.9854795336723328,False,True,False,0.49595585046336055,True
mp-27313,NbSeF9,146,R3,44,0.0,True,0.0006034600082784891,0.9892160892486572,False,True,False,0.49490977462846786,True
mp-561446,BaCa(GaO2)4,44,Imm2,14,0.0,True,0.00012166885426267982,0.9843845367431641,False,True,False,0.49225310279871337,True
mp-2713950,Nb3Al(PO4)6,143,P3,102,0.007569639901959001,False,7.626484875800088e-05,0.9634735584259033,False,True,False,0.48177491163733066,True
mp-554381,Ca2VBiO6,36,Cmc2_1,20,0.0,True,1.9128952772007324e-05,0.94833904504776,False,True,False,0.474179087000266,True
mp-557855,CaGaBO4,37,Ccc2,28,0.0,True,8.652811629872303e-06,0.9449869990348816,False,True,False,0.47249782592325573,True
mp-6599,KNb(CuSe2)2,40,Ama2,16,0.0,True,1.1757858374039643e-05,0.9323069453239441,False,False,False,0.46615935159115907,True
mp-31408,Al4(B2O5)3,146,R3,25,0.0,True,0.9100703597068787,0.0034436583518981934,True,False,False,0.4567570090293884,True
mp-34292,Tl9SbTe6,79,I4,16,0.0,True,0.9021223187446594,0.00020037117064930499,True,False,False,0.45116134495765436,True
mp-27529,PI3,173,P6_3,8,0.0,True,2.0553916328935884e-05,0.8950433731079102,False,False,False,0.44753196351211955,True
mp-27573,NaSb3F10,173,P6_3,28,0.0,True,0.8509042263031006,0.0110412472859025,False,False,False,0.43097273679450154,True
mp-1209460,Rb2Mo(OF2)2,36,Cmc2_1,18,0.002359141666664,False,0.8502585291862488,0.0033405041322112083,False,False,False,0.42679951665923,True
mp-1216943,TiNb(PO4)3,161,R3c,34,0.0,True,5.4845579143147916e-05,0.8515899181365967,False,False,False,0.4258223818578699,True
mp-1223401,KNb4AsO13,36,Cmc2_1,38,0.0,True,8.15347539173672e-06,0.8099094033241272,False,False,False,0.40495877839975947,True
mp-1209465,Rb2Mo(OF2)2,40,Ama2,18,0.0,True,0.7910398244857788,0.006672678515315056,False,False,False,0.39885625150054693,True
mp-1220763,Nb3Al(PO4)6,146,R3,34,0.0,True,1.675249768595677e-05,0.7926520109176636,False,False,False,0.39633438170767477,True
mp-18115,K2Sn2Hg3S8,41,Aea2,30,0.0,True,6.647159807471326e-06,0.7773729562759399,False,False,False,0.3886898017178737,True
mp-570935,LiI,186,P6_3mc,4,0.0,True,0.0004853341088164598,0.7727421522140503,False,False,False,0.3866137431614334,True
mp-775198,Ti3P6WO24,146,R3,34,0.0,True,8.393367170356214e-05,0.7697265148162842,False,False,False,0.38490522424399387,True
mp-561173,Y3CuSiS7,173,P6_3,24,0.0,True,2.6187894036411308e-05,0.7352219223976135,False,False,False,0.36762405514582497,True
mp-1220871,NaAs3(PbO3)4,173,P6_3,40,0.0,True,0.0004593146441038698,0.6169750094413757,False,False,False,0.3087171620427398,True
mp-1229128,Ag3PO4,161,R3c,16,0.0,True,0.00024300036602653563,0.554331362247467,False,False,False,0.2772871813067468,True
mp-864928,BrCl,186,P6_3mc,4,0.096000367499999,False,1.2182796126580797e-05,0.539818286895752,False,False,False,0.26991523484593927,True
mp-1103709,Rb2Cd(IBr)2,40,Ama2,14,0.0,True,1.0772436326078605e-05,0.5133988261222839,False,False,False,0.256704799279305,True
mp-560376,RbV2I3O13,46,Ima2,38,0.0,True,3.118216045550071e-05,0.4230528175830841,False,False,False,0.2115419998717698,True
mp-555903,Al(IO3)3,173,P6_3,26,0.0,True,2.4055787434917875e-05,0.36616653203964233,False,False,False,0.18309529391353863,True
mp-1244966,MoO3,1,P1,100,0.526043406737499,False,0.318594366312027,0.0001333330146735534,False,False,False,0.15936384966335027,True
mp-1190339,Na3Ca3AlSb4,186,P6_3mc,22,0.0,True,0.31488439440727234,3.8579379179282114e-05,False,False,False,0.1574614868932258,True
mp-15572,Na3Ca3AlAs4,186,P6_3mc,22,0.0,True,0.17134948074817657,5.005949060432613e-05,False,False,False,0.08569977011939045,True
mp-1207861,VCd2BiO6,36,Cmc2_1,20,0.0,True,0.15455998480319977,3.354857472004369e-05,False,False,False,0.0772967666889599,True
mp-11925,RbTa(CuSe2)2,40,Ama2,16,0.0,True,7.901475328253582e-06,0.11929303407669067,False,False,False,0.059650467776009464,True
mp-552185,AgNO3,161,R3c,10,0.0,True,0.009201797656714916,0.08070186525583267,False,False,False,0.044951831456273794,True
mp-1880,SbF3,40,Ama2,8,0.0,True,0.08738674968481064,3.901134914485738e-05,False,False,False,0.04371288051697775,True
mp-8196,AgNO3,160,R3m,5,0.031171343000002003,False,0.018538732081651688,0.05509200319647789,False,False,False,0.03681536763906479,True
mp-6013,KTa(CuSe2)2,40,Ama2,16,0.00023829104166700002,False,9.432971637579612e-06,0.06359025835990906,False,False,False,0.03179984566577332,True
mp-643009,SrMgH4,36,Cmc2_1,12,0.0,True,6.852977094240487e-06,0.032048795372247696,False,False,False,0.016027824174670968,True
mp-1228599,Al3BC3,185,P6_3cm,42,0.0,True,0.0002745266247075051,0.02972397208213806,False,False,False,0.014999249353422783,True
mp-1020019,Li2PNO2,36,Cmc2_1,12,0.0,True,1.1013181392627303e-05,0.01150492113083601,False,False,False,0.005757967156114319,True
mp-757115,KSb5O13,40,Ama2,38,0.0,True,8.291244739666581e-06,0.010685019195079803,False,False,False,0.005346655219909735,True
mp-685156,MoO3,7,Pc,16,0.7680878265624991,False,0.0062498003244400024,0.0004034539160784334,False,False,False,0.003326627120259218,True
mp-1445089,MoO3,1,P1,16,0.010039616562499,False,0.0018871864303946495,0.001262540346942842,False,False,False,0.0015748633886687458,True
mp-2704783,MoO3,7,Pc,16,0.49267484656249905,False,0.0025752773508429527,0.00038334750570356846,False,False,False,0.0014793124282732606,True
mp-715474,MoO3,7,Pc,16,0.059622485312498,False,0.0018479307182133198,0.0009125085780397058,False,False,False,0.0013802196481265128,True
mp-1220473,NbTlTeO6,46,Ima2,18,0.0,True,5.0146019930252805e-05,0.0022079937625676394,False,False,False,0.001129069891248946,True
mp-715574,MoO3,7,Pc,16,0.05946354843749901,False,0.0009737315704114735,0.00011093408102169633,False,False,False,0.0005423328257165849,True
mp-28369,GeH3Cl,36,Cmc2_1,10,0.0,True,7.139796252886299e-06,0.0006323634879663587,False,False,False,0.0003197516421096225,True
mp-1078908,Ca2CdP2,36,Cmc2_1,10,0.0,True,0.000459735601907596,7.3901346695492975e-06,False,False,False,0.00023356286828857264,True
mp-1369275,MoO3,185,P6_3cm,24,0.958320918854166,False,8.040151442401111e-05,0.00036908118636347353,False,False,False,0.00022474135039374232,True
mp-1226055,CsW3Br7,159,P31c,44,0.0,True,0.00012880959548056126,9.404074080521241e-05,False,False,False,0.00011142516814288683,True
mp-21892,Al2PbO4,40,Ama2,14,0.0,True,0.0001302978052990511,3.653228850453161e-05,False,False,False,8.341504690179136e-05,True
mp-23292,HgBr2,36,Cmc2_1,6,0.0,True,2.7005589799955487e-05,9.238905477104709e-05,False,False,False,5.9697322285501286e-05,True
mp-1192393,Sr14(SnAs4)3,146,R3,29,0.0,True,7.530168659286574e-05,4.328340583015233e-05,False,False,False,5.9292546211509034e-05,True
mp-23297,BrF3,36,Cmc2_1,8,0.0,True,9.447846241528168e-05,1.7861499145510606e-05,False,False,False,5.6169980780396145e-05,True
mp-1106089,Ba2InGaO5,46,Ima2,18,0.0,True,9.567786764819175e-05,1.3235489859653171e-05,False,False,False,5.445667875392246e-05,True
mp-9900,Ag2GeS3,36,Cmc2_1,12,0.0,True,3.057305366382934e-05,7.383793854387477e-05,False,False,False,5.2205496103852056e-05,True
mp-569854,Ga3Bi5Cl12,161,R3c,40,0.0,True,1.2874448657385074e-05,9.111952385865152e-05,False,False,False,5.1996986258018296e-05,True
mp-1205304,TiI2O7,36,Cmc2_1,20,0.0,True,8.61306307342602e-06,8.079156395979226e-05,False,False,False,4.470231351660914e-05,True
mp-559759,CaAlBO4,37,Ccc2,28,0.0,True,3.056742934859358e-05,2.600988773338031e-05,False,False,False,2.8288658540986944e-05,True
mp-27987,BrF5,36,Cmc2_1,12,0.0,True,4.160165917710401e-05,1.4122521861281712e-05,False,False,False,2.786209051919286e-05,True
mp-1214215,Ca11AlSb9,45,Iba2,42,0.0,True,3.6410590837476775e-05,1.50752412082511e-05,False,False,False,2.5742916022863938e-05,True
mp-1216623,TlSbWO6,46,Ima2,18,0.0,True,8.881698704499286e-06,3.545818981365301e-05,False,False,False,2.2169944259076146e-05,True
mp-9813,WS2,160,R3m,3,0.000883806666664,False,7.5239845500618685e-06,3.335522342240438e-05,False,False,False,2.0439603986233124e-05,True
mp-3881,BaZnF4,36,Cmc2_1,12,0.0,True,1.9653256458695978e-05,1.684940252744127e-05,False,False,False,1.8251329493068624e-05,True
mp-1066781,BrCl,36,Cmc2_1,4,0.0,True,2.0960656911483966e-05,1.2070571756339632e-05,False,False,False,1.65156143339118e-05,True
mp-864638,Ba2InBiS5,36,Cmc2_1,18,0.0,True,2.4260831196443178e-05,6.462673809437547e-06,False,False,False,1.5361752502940362e-05,True
mp-556866,Ag2HgSI2,36,Cmc2_1,12,0.0,True,1.3058510376140475e-05,1.65274650498759e-05,False,False,False,1.4792987713008188e-05,True
mp-1219595,RbHgSbTe3,36,Cmc2_1,12,0.0,True,1.3414024579105899e-05,1.2728696674457751e-05,False,False,False,1.3071360626781825e-05,True
mp-4779,Li2B4O7,110,I4_1cd,52,0.002735776057699,False,1.3761818991042674e-05,1.103300746763125e-05,False,False,False,1.2397413229336962e-05,True
mp-1228030,Ba4Bi2O,107,I4mm,7,0.0,True,1.970219636859838e-05,4.9077148105425294e-06,False,False,False,1.2304955589570454e-05,True
mp-29515,PH2F3,36,Cmc2_1,12,0.0,True,9.19284957490163e-06,1.5196458662103396e-05,False,False,False,1.2194654118502513e-05,True
mp-23334,Bi2TeO5,39,Aem2,32,0.0,True,1.1900290701305494e-05,1.1646161510725506e-05,False,False,False,1.17732261060155e-05,True
mp-560463,Li2B4O7,110,I4_1cd,52,0.31242782375000705,False,1.4655809536634479e-05,8.127049113682006e-06,False,False,False,1.1391429325158242e-05,True
mp-766341,NaSb5O13,40,Ama2,38,0.0,True,7.737630767223891e-06,1.4612293853133451e-05,False,False,False,1.1174962310178671e-05,True
mp-662547,PSeCl9,46,Ima2,44,0.0,True,1.3542870874516666e-05,7.228822141769342e-06,False,False,False,1.0385846508143004e-05,True
mp-557070,Ca2BiAsO6,36,Cmc2_1,20,0.0,True,7.830750291759614e-06,1.264843376702629e-05,False,False,False,1.0239592029392952e-05,True
mp-29839,Bi2SeO5,39,Aem2,32,0.0,True,1.0894959814322647e-05,9.44080875342479e-06,False,False,False,1.0167884283873718e-05,True
mp-1079666,Ba2CdAs2,36,Cmc2_1,10,0.0,True,1.5459043424925767e-05,4.739740688819438e-06,False,False,False,1.0099392056872603e-05,True
mp-13703,Al4CO4,36,Cmc2_1,18,0.0,True,1.0476544957782608e-05,9.009750101540703e-06,False,False,False,9.743147529661655e-06,True
mp-1213763,ClF5,36,Cmc2_1,12,0.0,True,7.875475603214e-06,1.057792360370513e-05,False,False,False,9.226699603459565e-06,True
mp-1095180,Ca2CdAs2,36,Cmc2_1,10,0.0,True,1.0367533832322806e-05,7.609632575622527e-06,False,False,False,8.988583203972667e-06,True
mp-1218382,Sr4Bi2O,107,I4mm,7,0.0,True,1.154485835286323e-05,6.377284080372192e-06,False,False,False,8.961071216617711e-06,True
