material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe,label_source,refined_ferroelectric
mp-774881,Li4Ti3Nb2V3O16,8,Cm,28,0.038506816339282,False,0.015121997334063,0.9998898506164552,False,True,False,0.5075059239752591,False,model_prediction,True
mp-1226813,Ce2Ge3Rh,25,Pmm2,6,0.001086117722218,False,0.0149296773597598,0.9999759197235109,False,True,False,0.5074527985416353,False,model_prediction,True
mp-1046194,Ba2Tl2Zn2Sn3O10,1,P1,19,0.361582077017542,False,0.9999858140945436,0.0149120008572936,True,False,False,0.5074489074759185,False,model_prediction,True
mp-29532,Ca11(ReO6)4,80,I4_1,78,0.0,True,0.0147636756300926,0.9999946355819702,False,True,False,0.5073791556060314,False,model_prediction,True
mp-775998,Li4CrBi(TeO6)2,1,P1,20,0.076126384138891,False,0.99950110912323,0.0151138752698898,True,False,False,0.5073074921965599,False,model_prediction,True
mp-768122,NaBiPCO7,4,P2_1,22,0.070026885227277,False,0.0146020706743001,0.9999920129776,False,True,False,0.5072970418259501,False,model_prediction,True
mp-1223526,KBaB(PO4)2,9,Cc,26,0.0,True,0.999292016029358,0.0152915129438042,True,False,False,0.5072917644865811,False,model_prediction,True
mp-1227202,CaAl4(SiO3)8,1,P1,37,0.290688590022524,False,0.997990608215332,0.0164649244397878,True,False,False,0.50722776632756,False,model_prediction,True
mp-1192451,HoWBrO4,2,P-1,28,0.040322805059528,False,0.0335574559867382,0.9807953238487244,False,True,False,0.5071763899177313,False,model_prediction,True
mp-556455,Y2(MoO4)3,32,Pba2,68,0.027218196176468,False,0.999974250793457,0.0143781462684273,True,False,False,0.5071761985309422,False,model_prediction,True
mp-557599,Rb2Bi(ClO4)5,2,P-1,56,0.0,True,0.0143375704064965,0.9999948740005492,False,True,False,0.5071662222035229,False,model_prediction,True
mp-674343,Ti10Cu7S20,8,Cm,37,0.034034026351348,False,0.0142631577327847,0.9999957084655762,False,True,False,0.5071294330991805,False,model_prediction,True
mp-991343,Sr6(RhO3)5,5,C2,26,2.056652305480769,False,0.9998437166213988,0.0144090270623564,True,False,False,0.5071263718418777,False,model_prediction,True
mp-1238774,NaVPO4F,33,Pna2_1,64,0.007084952239583,False,0.0141498195007443,0.9999929666519164,False,True,False,0.5070713930763304,False,model_prediction,True
