material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_v6_prob,nequip_v2_prob
mp-626435,Al(HO)3,1,P1,0.025205606071428,False,0.9999966621398926,0.9999983310699464
mp-556376,SiO2,3,P2,0.42902559138889,False,0.999751627445221,0.9999997615814208
mp-675879,Ag3SI,4,P2_1,0.075509742999996,False,0.999997893969218,0.999996304512024
mp-626631,Al(HO)3,4,P2_1,0.088320240535714,False,0.9237459301948548,0.9970163106918336
mp-768350,Ba2YF7,4,P2_1,0.068091642999998,False,0.9999994039535522,0.9999982118606568
mp-644852,BaCa(CO3)2,4,P2_1,0.013567834999999,False,0.9999987284342448,0.9999972581863404
mp-770427,BaLaCl5,4,P2_1,0.062747197857141,False,0.9999994039535522,0.9999988079071044
mp-1182418,BrO4,4,P2_1,0.197551227749999,False,0.9999970197677612,0.9999994039535522
mp-567594,Cs2HgI4,4,P2_1,0.000729107857141,False,0.9999987681706748,0.999997854232788
mp-600236,Cu2H10C6S3N4,4,P2_1,0.191557178566665,False,0.999999205271403,0.9999994039535522
mp-554570,H10C3NClO4,4,P2_1,0.6190078439473681,False,0.999999443689982,0.999997854232788
mp-626024,H2SeO4,4,P2_1,0.001583211785714,False,0.9239443937937418,0.9999934434890748
mp-776081,K2O,4,P2_1,0.088217363333333,False,0.999998966852824,0.9999997615814208
mp-23535,K2ZnBr4,4,P2_1,0.0,True,0.999998966852824,0.9999988079071044
mp-1194562,K4P4O5,4,P2_1,0.196883395954892,False,0.9999988873799642,0.9992899894714355
mp-28435,KFeCl4,4,P2_1,0.0,True,0.9999990860621134,0.9994094371795654
mp-1223528,KGaGeS4,4,P2_1,0.0,True,0.9999992450078328,0.9999995231628418
mp-861938,KLaSiS4,4,P2_1,0.0,True,0.9999984900156657,0.9999985694885254
mp-626000,NaHO,4,P2_1,0.0,True,0.9999992847442628,0.9999995231628418
mp-625249,P(HO)3,4,P2_1,0.129823453877551,False,0.9999987284342448,0.9987911581993104
mp-626721,RbHO,4,P2_1,0.000384166666666,False,0.9999993244806924,0.9999992847442628
mp-555891,SiO2,4,P2_1,0.007827974999999,False,0.9999992450078328,0.9999998807907104
mp-972808,SiO2,4,P2_1,0.007662029722222,False,0.9999993642171224,0.9999998807907104
mp-771879,Sr2LaCl7,4,P2_1,0.085712082499998,False,0.999987284342448,0.9999650716781616
mp-561022,SrMgF4,4,P2_1,0.021730075000004,False,0.999999443689982,0.9999985694885254
mp-753858,TiOF2,4,P2_1,0.055627160312498,False,0.9999990860621134,0.9999938011169434
mp-1215642,Zn2SiGeN4,4,P2_1,0.0062823496875,False,0.9999982515970866,0.999997854232788
mp-600237,Ag(CO)2,5,C2,0.436955982916668,False,0.9999992450078328,0.9997742772102356
mp-555966,BaTi2O5,5,C2,0.002064464166666,False,0.9999992450078328,0.9999977350234984
mp-1352981,Bi6P2O15,5,C2,0.098679798695669,False,0.9999974171320596,0.999990940093994
mp-626644,Ca(HO)2,5,C2,0.007467167999987,False,0.9999668200810752,0.9999642372131348
mp-1229156,Cs3(SeO4)2,5,C2,0.005267212307692,False,0.9999939600626628,0.9999991655349731
mp-561834,Cs4CO4,5,C2,0.210258491388889,False,0.9999990860621134,0.9999988079071044
mp-645330,Cs4CO4,5,C2,0.230006910277777,False,0.9999988476435344,0.9999991655349731
