material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_v6_prob,nequip_v2_prob,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,is_known_fe,is_known_non_fe
mp-2228281,NaMgCoO2,160,R3m,0.43118845733333006,False,0.9999991655349731,1.0,True,True,True,False,False
mp-2232210,NaMgFe5O8,160,R3m,0.520833913999998,False,0.9999990860621134,1.0,True,True,True,False,False
mp-2210678,NaMgFeO2,160,R3m,0.44812357233333605,False,0.9999990860621134,1.0,True,True,True,False,False
mp-2210611,NaMgMnO2,160,R3m,0.244322915665229,False,0.9999991257985433,1.0,True,True,True,False,False
mp-2226404,NaMgMnO2,160,R3m,0.28734214766522903,False,0.9999990860621134,1.0,True,True,True,False,False
mp-2225340,NaMgMoO3,160,R3m,0.5066787916666681,False,0.9999991257985433,0.9999998807907104,True,True,True,False,False
mp-2225889,NaMgNiO2,160,R3m,0.46644321749999906,False,0.9999991655349731,1.0,True,True,True,False,False
mp-2223688,NaMgVO3,160,R3m,0.587637724166665,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1066400,NaN3,160,R3m,0.0029249475000000004,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1220969,NaSi68,160,R3m,0.12214223309345201,False,0.999999483426412,1.0,True,True,True,False,False
mp-1192032,NaSr3Be3B3O9F4,160,R3m,0.037491461847833,False,0.9999990860621134,1.0,True,True,True,False,False
mp-754850,NaTiS2,160,R3m,0.040091052499999,False,0.9999990860621134,1.0,True,True,True,False,False
mp-10225,NaVS2,160,R3m,0.06075763642857,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1220698,NaZr2SN2Cl,160,R3m,0.09179408428571201,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1211606,Nb13(Pb3O10)5,160,R3m,0.049945951450311006,False,0.9999991257985433,1.0,True,True,True,False,False
mp-558608,Nb2PbO6,160,R3m,0.008790059920555001,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1220669,Nb3AlCo8,160,R3m,0.06131039166666501,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1220664,Nb3AlCr8,160,R3m,0.013907153000001001,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1220858,Nb3Co8Si,160,R3m,0.157473961753471,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1220620,Nb3WS8,160,R3m,0.018155447083331,False,0.999999205271403,1.0,True,True,True,False,False
mp-676894,Nb40(NO)17,160,R3m,0.541880464814191,False,0.9999995628992716,1.0,True,True,True,False,False
mp-1220596,Nb4AgS8,160,R3m,0.006987346153821,False,0.999999205271403,1.0,True,True,True,False,False
mp-1220501,Nb4C3,160,R3m,0.08841718142856701,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1220499,Nb4Pb3O13,160,R3m,0.009408661249983,False,0.9999993244806925,1.0,True,True,True,False,False
mp-2762805,NbSI,160,R3m,0.0,True,0.9999992450078329,1.0,True,True,True,False,False
mp-7597,NbSe2,160,R3m,0.000109165000001,False,0.9999990860621134,1.0,True,True,True,False,False
mp-2012385,NbSeI,160,R3m,0.0,True,0.9999991655349731,1.0,True,True,True,False,False
mp-1220407,NbVCN,160,R3m,0.157838465937498,False,0.999999205271403,1.0,True,True,True,False,False
mp-1220600,NbVCo6,160,R3m,0.023038301666667003,False,0.999999205271403,1.0,True,True,True,False,False
mp-1220505,NbZn(PbO3)2,160,R3m,0.159978678812488,False,0.9999990463256836,1.0,True,True,True,False,False
mp-975160,Nd(Mg4Al3)4,160,R3m,0.01836763702586,False,0.9999993642171224,1.0,True,True,True,False,False
mp-1220336,Nd2Fe4Co13,160,R3m,0.0048479156390960005,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1220302,Nd2TiFe16,160,R3m,0.24702468499999902,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1220178,NdCu4Pd,160,R3m,0.011197050000005001,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1220129,NdDy,160,R3m,0.044588424583331,False,0.9999992450078329,0.996803879737854,True,True,True,False,False
mp-1220213,NdErFe17,160,R3m,0.036302205219300006,False,0.9999993244806925,1.0,True,True,True,False,False
mp-23837,NdH3(CO2)3,160,R3m,0.113515831923071,False,0.999999205271403,1.0,True,True,True,False,False
mp-1220091,NdSmFe17,160,R3m,0.033200073026316,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1220094,NdSmFe17N3,160,R3m,0.066421041136367,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1220100,NdSmFe4Co13,160,R3m,0.0032434400000010003,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1209866,NdZr3F15,160,R3m,0.013386388464912,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1220092,Ni3Pb2SeS,160,R3m,0.11222259964285701,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1220109,Ni3S2,160,R3m,0.17805631000000002,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1220773,Ni43(GeB4)3,160,R3m,0.011472416896543,False,0.9999993642171224,1.0,True,True,True,False,False
mp-1018020,NiAgSe2,160,R3m,0.06530893343749701,False,0.9999991257985433,1.0,True,True,True,False,False
mp-976804,NiAgTe2,160,R3m,0.11126073083333601,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1407373,NiO2,160,R3m,0.325866991944444,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1547,NiS,160,R3m,0.014181840833332002,False,0.9999992450078329,1.0,True,True,True,False,False
mp-15651,NiSe,160,R3m,0.0,True,0.9999992450078329,1.0,True,True,True,False,False
mp-559593,PS3N5F2,160,R3m,0.375467916386363,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1079073,Pb2CO6,160,R3m,0.57842902111111,False,0.9999990463256836,1.0,True,True,True,False,False
mp-1080242,Pb3N4,160,R3m,0.481050177142858,False,0.9999990860621134,1.0,True,True,True,False,False
mp-540938,Pb5(IF4)2,160,R3m,0.076864290333332,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1057015,PbS,160,R3m,0.0013585549999990002,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1186467,Pm(Mg4Al3)4,160,R3m,0.019017793922413,False,0.9999993642171224,1.0,True,True,True,False,False
mp-1186690,Pr(Mg4Al3)4,160,R3m,0.020631778749999,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1219949,Pr2AlFe16,160,R3m,0.053386915614036,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1219957,Pr2Co16Cu,160,R3m,0.023953332434206002,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1219964,Pr2MgNi9,160,R3m,0.005763924166696,False,0.9999993642171224,1.0,True,True,True,False,False
mp-1219878,Pr2Mn4Co13,160,R3m,0.047121467563353,False,0.999999205271403,1.0,True,True,True,False,False
mp-1222239,Pr31Ni64,160,R3m,0.004060439631578001,False,0.9999984502792358,0.9540613293647766,True,True,True,False,False
mp-1221132,Pr3Gd3Mn23,160,R3m,0.8193324762960751,False,0.999999483426412,1.0,True,True,True,False,False
mp-1219896,Pr3MgNi14,160,R3m,0.0,True,0.9999993244806925,1.0,True,True,True,False,False
mp-1220060,Pr3Tm3Mn23,160,R3m,0.175199126703025,False,0.999999483426412,1.0,True,True,True,False,False
mp-1220026,PrErCo17,160,R3m,0.0016015642105270001,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1219993,PrMg3Ni8,160,R3m,0.018324301875,False,0.9999993244806925,1.0,True,True,True,False,False
mp-2239942,PrMgCoO3,160,R3m,0.8261829030208301,False,0.999999205271403,1.0,True,True,True,False,False
mp-1219785,PrSmCo17,160,R3m,0.0019151336842110002,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1219723,PrThCN,160,R3m,0.070992033333329,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1219744,PrY,160,R3m,0.017228925833336,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1186845,Pu(Mg4Al3)4,160,R3m,0.017706325014364,False,0.9999993244806925,1.0,True,True,True,False,False
mp-975424,Rb(Mg4Al3)4,160,R3m,0.056144184568966006,False,0.9999993642171224,1.0,True,True,True,False,False
mp-1219890,Rb3Ge7HO20,160,R3m,0.312944061814514,False,0.9999990860621134,0.9999998807907104,True,True,True,False,False
mp-551690,Rb4CO4,160,R3m,0.28906899833333305,False,0.9999991257985433,0.9999998807907104,True,True,True,False,False
mp-1219895,Rb5Bi(I5O)2,160,R3m,0.613935359571758,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1219607,RbBa2Fe2F9,160,R3m,0.18237648625000402,False,0.999999205271403,1.0,True,True,True,False,False
mp-1219599,RbBa2Ni2F9,160,R3m,0.113219533571419,False,0.9999991655349731,1.0,True,True,True,False,False
