material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_v6_prob,nequip_v2_prob,avg_prob,min_prob
mp-1195294,K14ZnGe16,31,Pmn2_1,0.0,True,0.9999946355819702,0.9999979734420776,0.9999987681706748,1.0,0.9999978442986808,0.9999946355819702
mp-557027,Rb2Be2Si2O7,34,Pnn2,0.0,True,0.9999945163726808,0.9999974966049194,0.9999993642171224,0.9999998807907104,0.9999978144963584,0.9999945163726808
mp-2748904,Rb4SnO3,9,Cc,0.0,True,0.9999949932098388,0.9999971389770508,0.999999443689982,0.9999996423721312,0.9999978045622508,0.9999949932098388
mp-1212053,K2MgGeO4,29,Pca2_1,0.0,True,0.999994158744812,0.999997854232788,0.9999992450078328,0.9999998807907104,0.9999977846940358,0.999994158744812
mp-756570,Rb4SnO3,9,Cc,0.0,True,0.9999951124191284,0.9999971389770508,0.999999205271403,0.9999996423721312,0.9999977747599283,0.9999951124191284
mp-18361,K7NbAs4,31,Pmn2_1,0.0,True,0.9999946355819702,0.9999970197677612,0.999999443689982,0.9999998807907104,0.999997744957606,0.9999946355819702
mp-15171,K2MgSiO4,29,Pca2_1,0.0,True,0.9999935626983644,0.999997854232788,0.9999991257985432,1.0,0.9999976356824238,0.9999935626983644
mp-6386,K2ZnGeO4,29,Pca2_1,0.0,True,0.9999938011169434,0.99999737739563,0.9999993244806924,0.9999998807907104,0.999997595945994,0.9999938011169434
mp-22655,KNiPO4,33,Pna2_1,0.0,True,0.9999936819076538,0.9999974966049194,0.9999991655349731,1.0,0.9999975860118866,0.9999936819076538
mp-1223803,K6Zn4Sn5S17,5,C2,0.0,True,0.9999951124191284,0.9999972581863404,0.999999205271403,0.9999986886978148,0.9999975661436716,0.9999951124191284
mp-17964,Na2Ge2Se5,33,Pna2_1,0.0,True,0.9999936819076538,0.99999737739563,0.999999205271403,1.0,0.9999975661436716,0.9999936819076538
mp-555007,Rb4V5CdClO15,75,P4,0.0,True,0.9999936819076538,0.9999974966049194,0.9999991655349731,0.9999998807907104,0.9999975562095642,0.9999936819076538
mp-542972,KNb2PS10,29,Pca2_1,0.0,True,0.999992847442627,0.9999979734420776,0.9999993642171224,1.0,0.9999975462754568,0.999992847442627
mp-1029938,K3W2N5,80,I4_1,0.0,True,0.9999927282333374,0.9999983310699464,0.9999991655349731,0.9999998807907104,0.9999975264072418,0.9999927282333374
mp-1223528,KGaGeS4,4,P2_1,0.0,True,0.9999942779541016,0.9999969005584716,0.9999992450078328,0.9999995231628418,0.999997486670812,0.9999942779541016
