material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_v6_prob,nequip_v2_prob,avg_prob,min_prob
mp-1195990,B10Pb4Cl2O19,34,Pnn2,0.054551373439156,False,0.9964348077774048,0.0992724150419235,0.999999205271403,0.9999998807907104,0.7739265772203604,0.0992724150419235
mp-1208633,SrLiPO4,173,P6_3,0.02366929547619,False,0.9999884366989136,0.0947845801711082,0.9999991655349731,1.0,0.7736930456012487,0.0947845801711082
mp-1196298,V4Pb3O3F19,159,P31c,0.0,True,0.9999839067459106,0.0909906327724456,0.9999990860621134,1.0,0.7727434063951174,0.0909906327724456
mp-2763369,Na6Cd7S10,8,Cm,0.0,True,0.9999938011169434,0.9999969005584716,0.1110207231684701,0.9799015522003174,0.7727282442610506,0.1110207231684701
mp-998554,KAgCl3,99,P4mm,0.001895851999998,False,0.9649316072463988,0.1251523047685623,0.9999990860621134,1.0,0.7725207495192686,0.1251523047685623
mp-757224,Th4P6O23,26,Pmc2_1,0.0,True,0.999692678451538,0.0899610593914985,0.9999992450078328,0.9999998807907104,0.7724132159103949,0.0899610593914985
mp-1209699,RbU3F10,186,P6_3mc,0.04450670892858,False,0.999987244606018,0.0882529020309448,0.999999205271403,1.0,0.7720598379770914,0.0882529020309448
mp-709066,Rb4LiH3(SO4)4,78,P4_3,0.001029578124999,False,0.0878569856286048,0.9999929666519164,0.9999993642171224,1.0,0.7719623291244109,0.0878569856286048
mp-1245645,NaCaN,186,P6_3mc,0.23852007844109,False,0.9999558925628662,0.0861982852220535,0.9999991655349731,0.9999998807907104,0.7715383060276508,0.0861982852220535
mp-1078932,Ca(BH)2,36,Cmc2_1,0.206940811333332,False,0.0842504799365997,0.9999887943267822,0.9999992847442628,1.0,0.7710596397519112,0.0842504799365997
mp-722193,NClO2,100,P4bm,1.488567954999999,False,0.0834887400269508,0.9999939203262328,0.9999991257985432,1.0,0.7708704465379317,0.0834887400269508
mp-2749854,US2,157,P31m,0.009144095555562,False,0.0809222534298896,0.9999884366989136,0.999999483426412,1.0,0.7702275433888038,0.0809222534298896
mp-772186,Tm(ClO4)3,161,R3c,0.0,True,0.0803543105721473,0.9999829530715942,0.999999205271403,1.0,0.7700841172287861,0.0803543105721473
mp-1045327,Ca(BiO3)2,31,Pmn2_1,0.058217998194447,False,0.141238585114479,0.9379187226295472,0.9999994039535522,0.9999997615814208,0.7697891183197498,0.141238585114479
mp-1221275,Na2Zn3GeAs4,8,Cm,0.042611793499999,False,0.9999908208847046,0.9999513626098632,0.9835620125134786,0.0950615182518959,0.7696414285649856,0.0950615182518959
mp-1235957,SrLiAl2B2O7,146,R3,0.296179240528847,False,0.9998865127563475,0.0782369747757911,0.9999992847442628,1.0,0.7695306930691004,0.0782369747757911
mp-1200548,B5Pb2IO9,34,Pnn2,0.0,True,0.9998589754104614,0.073762722313404,0.9999990463256836,0.9999998807907104,0.7684051562100649,0.073762722313404
mp-779692,Ti7O8,8,Cm,0.115783338666666,False,0.0874551907181739,0.9999089241027832,0.9999828735987344,0.9847604632377625,0.7680268629143635,0.0874551907181739
mp-677516,Rb5NO5,6,Pm,0.721511280909091,False,0.9999935626983644,0.999997854232788,0.0720789209082492,0.999948024749756,0.7680045906472893,0.0720789209082492
mp-505449,NiPH16NO10,31,Pmn2_1,0.0,True,0.9999887943267822,0.0705208852887153,0.9999992847442628,0.9999998807907104,0.7676272112876177,0.0705208852887153
mp-686015,Ca3(PO4)2,146,R3,0.560022784221612,False,0.0688099414110183,0.9991206526756288,0.9999992847442628,1.0,0.7669824697077274,0.0688099414110183
mp-757777,LiSiBi3O7,173,P6_3,0.041568846805557,False,0.0722751840949058,0.995497703552246,0.9999992450078328,1.0,0.7669430331637461,0.0722751840949058
mp-684828,NaCeH2S2O9,145,P3_2,0.0,True,0.9999774694442748,0.0668380111455917,0.9999990860621134,1.0,0.766703641662995,0.0668380111455917
mp-1193122,Li3V(H6O5)2,146,R3,0.008036281346158,False,0.999798595905304,0.0650310218334198,0.9999992450078328,1.0,0.7662072156866391,0.0650310218334198
mp-23894,LiAs(HO2)2,33,Pna2_1,0.002843325312499,False,0.9999383687973022,0.0646335184574127,0.9999990860621134,0.9999998807907104,0.7661427135268847,0.0646335184574127
mp-1188705,HgCNCl3,145,P3_2,0.9354412179166652,False,0.0633205100893974,0.9999974966049194,0.9999991655349731,1.0,0.7658292930573225,0.0633205100893974
mp-1021389,KMg6Si,38,Amm2,0.25208415784375,False,0.9999932050704956,0.0623435787856578,0.9999992450078328,1.0,0.7655840072159965,0.0623435787856578
mp-16001,Rb5Ti6AgSe27,159,P31c,0.0,True,0.8780617117881775,0.1824576258659362,0.9999992450078328,1.0,0.7651296456654866,0.1824576258659362
mp-1218856,Sr2Al7Ge,99,P4mm,0.018498155,False,0.9999884366989136,0.0589470937848091,0.9999993642171224,1.0,0.7647337236752113,0.0589470937848091
mp-2228464,Sr2YMgTlCu2O7,99,P4mm,0.349815169062499,False,0.9999806880950928,0.0584520027041435,0.9999993244806924,1.0,0.7646080038199822,0.0584520027041435
mp-1049290,CaHoTi2O6,31,Pmn2_1,0.003727968750004,False,0.058320514857769,0.999992609024048,0.9999980926513672,0.9999998807907104,0.7645777743309736,0.058320514857769
mp-766423,Li8BiS6,185,P6_3cm,0.082212612999999,False,0.1737757474184036,0.8839196562767029,0.9999991257985432,0.9999998807907104,0.76442360257109,0.1737757474184036
mp-1520905,KHf4BiO12,38,Amm2,0.239827755138893,False,0.0582903884351253,0.9989363551139832,0.9999992450078328,1.0,0.7643064971392353,0.0582903884351253
mp-1205268,Na6Ni3B9P6H3O38,173,P6_3,0.075545558691421,False,0.0575443543493747,0.99932599067688,0.9999995231628418,0.9999994039535522,0.7642173180356622,0.0575443543493747
mp-1219427,Si4Pb2O11,33,Pna2_1,0.137002337843139,False,0.0568452849984169,0.999892234802246,0.9999991655349731,1.0,0.764184171333909,0.0568452849984169
mp-23623,B5Pb2BrO9,34,Pnn2,0.0,True,0.999746024608612,0.0557388812303543,0.9999993642171224,0.9999998807907104,0.7638710377116997,0.0557388812303543
mp-1194001,Pr4PClO8,31,Pmn2_1,0.0,True,0.0552320703864097,0.9999125003814696,0.9999992450078328,1.0,0.763785953943928,0.0552320703864097
