thresh_screen,thresh_ensemble,accuracy,recall,precision,f1,auc,fold,auc_a,auc_b,auc_c
0.02,0.6,0.9612903225806452,0.8809523809523809,0.74,0.8043478260869565,0.9838768183921849,1,0.9855216580984903,0.5,0.9874541883998149
0.02,0.5,0.9698924731182795,0.9523809523809523,0.7692307692307693,0.851063829787234,0.9943024753899459,2,0.9949591604437941,0.5,0.9942086632393962
0.02,0.6,0.9713055954088953,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.9834165790396076,3,0.9904298733163087,0.5,0.9873566671673927
0.02,0.6,0.9641319942611191,0.92,0.7419354838709677,0.8214285714285714,0.984869976359338,4,0.9856832151300237,0.5,0.9855256107171001
0.02,0.6,0.975609756097561,0.952,0.8095238095238095,0.875,0.9891883372734437,5,0.9878833727344366,0.5,0.9894846335697399
