filepath,formula,spacegroup_number,spacegroup_symbol,num_atoms,probability,is_ferroelectric
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiFeF4/mp_756535_mp_1393169_cost_0.2057/5_normalized.vasp,LiFeF4,1,P1,12,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/RbPbF3/mp_21043_mp_674508_cost_0.0499/5_normalized.vasp,RbPbF3,9,Cc,10,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiH2N/mp_1188477_mp_1189646_cost_0.4091/2_normalized.vasp,LiH2N,7,Pc,16,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiMnF4/mp_1176621_mp_752973_cost_0.3303/2_normalized.vasp,LiMnF4,1,P1,12,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/KCoO2/mp_1180771_mp_1272824_cost_0.4956/4_normalized.vasp,KCoO2,1,P1,16,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li5Mn(CoO4)2/mp_1174120_mp_1174059_cost_0.2137/3_normalized.vasp,Li5Mn(CoO4)2,1,P1,16,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Ba2Mg(NiO3)2/mp_2220470_mp_2217302_cost_0.1289/1_normalized.vasp,Ba2Mg(NiO3)2,8,Cm,11,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgVS2/mp_2210687_mp_2210614_cost_0.3511/4_normalized.vasp,MgVS2,8,Cm,4,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li4Ti3O8/mp_758836_mp_755266_cost_0.1570/4_normalized.vasp,Li4Ti3O8,8,Cm,15,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Rb2Mg(FeO2)2/mp_2217243_mp_2217266_cost_0.3932/4_normalized.vasp,Rb2Mg(FeO2)2,1,P1,9,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na4MgV2O6/mp_2227682_mp_2233672_cost_0.4550/2_normalized.vasp,Na4MgV2O6,1,P1,13,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Mg(GaO2)2/mp_753846_mp_38951_cost_0.2014/2_normalized.vasp,Mg(GaO2)2,1,P1,14,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na8Mg(NiO4)2/mp_2231219_mp_2231589_cost_0.4816/5_normalized.vasp,Na8Mg(NiO4)2,1,P1,19,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Na6MgV2O8/mp_2229148_mp_2229093_cost_0.3358/3_normalized.vasp,Na6MgV2O8,1,P1,17,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/CeOF/mp_34976_mp_755007_cost_0.4725/4_normalized.vasp,CeOF,1,P1,6,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li5Co3O8/mp_1173963_mp_1174003_cost_0.2412/3_normalized.vasp,Li5Co3O8,1,P1,16,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/RbMgNbO3/mp_2227220_mp_2225837_cost_0.2261/2_normalized.vasp,RbMgNbO3,8,Cm,6,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/SrMgVO3/mp_2242053_mp_2227408_cost_0.1809/4_normalized.vasp,SrMgVO3,8,Cm,6,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li3MnCoO5/mp_1174144_mp_1174102_cost_0.3671/4_normalized.vasp,Li3MnCoO5,1,P1,20,0.9999953508377076,True
/home/ubuntu/ai_wh/wh-ai/new_data/database/KNa(BH4)2/mp_571414_mp_568439_cost_0.2980/2_normalized.vasp,KNa(BH4)2,1,P1,12,0.9999953508377076,True
