fold,accuracy,precision,recall,f1,roc_auc,threshold,confusion_matrix
0,0.9821813478948125,0.5428571428571428,0.42857142857142855,0.4789915966386554,0.92772437980389,0.6600000000000004,"(np.int64(6778), np.int64(48), np.int64(76), np.int64(57))"
1,0.9803132633999138,0.4846153846153846,0.47368421052631576,0.4790874524714829,0.939309892075633,0.6400000000000003,"(np.int64(6759), np.int64(67), np.int64(70), np.int64(63))"
2,0.9830435407386119,0.5728155339805825,0.44360902255639095,0.5,0.9406074518261667,0.6800000000000004,"(np.int64(6782), np.int64(44), np.int64(74), np.int64(59))"
3,0.9839057335824113,0.6179775280898876,0.41353383458646614,0.49549549549549554,0.9382458490204415,0.6800000000000004,"(np.int64(6792), np.int64(34), np.int64(78), np.int64(55))"
4,0.9826099453866054,0.5578947368421052,0.4015151515151515,0.46696035242290745,0.9439764625451705,0.6600000000000004,"(np.int64(6784), np.int64(42), np.int64(79), np.int64(53))"
