threshold,accuracy,precision,recall,f1
0.1,0.9005985933307766,0.23585144538029054,0.8705058099794941,0.37112815716522174
0.2,0.9535720368587348,0.3981479065892974,0.7364889496468443,0.5167767562522266
0.3,0.970367229161847,0.5528952168754359,0.6295169742538164,0.5886833927707164
0.4,0.9751367165951462,0.6750596308631023,0.504442925495557,0.576790540292486
0.5,0.9759994031703805,0.7853214424464425,0.39452039188881294,0.5247273923332789
0.6,0.9751367809641733,0.8822857142857142,0.3011164274322169,0.4483704002799537
0.7,0.9730057027095883,0.9587412587412587,0.20624287992709048,0.3384615072858466
0.8,0.9702150607817412,0.9857142857142858,0.11742993848257006,0.20940505473712662
0.9,0.9679317497780234,1.0,0.04815447710184552,0.09135367048410527
