fold,accuracy,precision,recall,f1,roc_auc,threshold,confusion_matrix
0,0.12810755961440892,0.03699551569506727,0.9924812030075187,0.0713320724128614,0.8349319084005629,0.27,"(np.int64(373), np.int64(3436), np.int64(1), np.int64(132))"
1,0.13901572805682394,0.0374468085106383,0.9924812030075187,0.07217058501913615,0.871124384866077,0.28,"(np.int64(416), np.int64(3393), np.int64(1), np.int64(132))"
2,0.0654490106544901,0.0346002621231979,0.9924812030075187,0.0668693009118541,0.8114142010315892,0.21000000000000002,"(np.int64(126), np.int64(3683), np.int64(1), np.int64(132))"
3,0.07307789901040346,0.03488372093023256,0.9924812030075187,0.06739851927495533,0.846297071460163,0.24000000000000002,"(np.int64(156), np.int64(3652), np.int64(1), np.int64(132))"
4,0.04592742958639939,0.03367609254498714,0.9924242424242424,0.06514172053704624,0.8546464911652625,0.3,"(np.int64(50), np.int64(3759), np.int64(1), np.int64(131))"
