fold,accuracy,precision,recall,f1,roc_auc,threshold,confusion_matrix
0,0.1321664129883308,0.037162162162162164,0.9924812030075187,0.07164179104477612,0.8121958874608417,0.22,"(np.int64(389), np.int64(3420), np.int64(1), np.int64(132))"
1,0.17858954845256214,0.039180765805877114,0.9924812030075187,0.07538549400342662,0.8732700746352624,0.26,"(np.int64(572), np.int64(3237), np.int64(1), np.int64(132))"
2,0.1461187214611872,0.03774663997712325,0.9924812030075187,0.07272727272727272,0.8265445709311346,0.24000000000000002,"(np.int64(444), np.int64(3365), np.int64(1), np.int64(132))"
3,0.11088556204009135,0.036313617606602476,0.9924812030075187,0.07006369426751592,0.8330582232893157,0.2,"(np.int64(305), np.int64(3503), np.int64(1), np.int64(132))"
4,0.09845216950012688,0.03556882975834917,0.9924242424242424,0.06867627785058977,0.8463746151459463,0.2,"(np.int64(257), np.int64(3552), np.int64(1), np.int64(131))"
