fold,roc_auc,best_threshold,best_f1
1,0.8807237822662886,0.5,0.551948051948052
2,0.9337230647776937,0.5,0.5448275862068965
3,0.8724146704522215,0.5,0.4715447154471545
4,0.5,0.5,0.45588235294117646
5,0.9315080140641316,0.5,0.43555555555555553
