Material_Name,Material_ID,Workflow_Status,Max_Distortion (Å),Spontaneous_Strain (unitless),Symmetry_Change (Delta_SG),Bandgap (eV),Avg_Distortion (Å),Structural_Delta,Volume_Change_Ratio,Delta_Bandgap (eV),Delta_E (eV/atom),Ps (uC/cm2),Label
LiCoPO4,mp-761753,DEFUSED,1.4358,0.04,58,2.6198,0.301,0.345,0.07777641608830974,0.3241000000000005,null,null,none_ferroelectric
H2O,mp-557082,COMPLETED,0.7612,0.0056,15,5.481,0.0625,0.051,-0.002852719220417589,0.017799999999999372,0.0002386261111109178,13.473425185691521,ferroelectric
LiCoPO4,mp-761753,DEFUSED,1.0996,0.052,58,2.6198,0.1929,0.182,0.09730107273426554,0.1788000000000003,null,null,none_ferroelectric
LiNiPO4,mp-763217,DEFUSED,0.0748,0.0014,58,3.9491,0.0175,0.014,-0.0016610249504458961,-0.004999999999999449,null,null,none_ferroelectric
SiO2,mp-972808,COMPLETED,1.0336,0.0331,178,5.590599999999999,0.4353,0.176,-0.11180177947942166,0.1504999999999992,-0.009821769166666883,0.3772812890001311,ferroelectric
LiNiPO4,mp-763217,COMPLETED,1.3728,0.0903,59,3.9471,0.3301,0.92,-0.029451118689937716,1.3820000000000001,0.10033645071428499,0.4136677095459791,none_ferroelectric
HgC2(SN)2,mp-610992,COMPLETED,0.0554,0.0022,7,2.1357,0.0304,0.015,-0.009620822890236424,0.1076999999999999,-0.002305007142856752,0.910701813140262,ferroelectric
SiO2,mp-555891,COMPLETED,0.8004,0.0128,178,5.3892,0.268,0.131,0.026111134587911238,-0.05050000000000043,-0.003363003333333836,0.03528770481795638,ferroelectric
Li3Mg,mp-976139,DEFUSED,0.4398,0.1735,196,0.0,0.2165,2.068,0.0034151656406447226,0.0,null,null,none_ferroelectric
LiNiPO4,mp-763217,COMPLETED,1.4243,0.0295,58,3.9471,0.3107,0.213,-0.013448623284064484,1.2007999999999996,0.09509461642857087,0.4120489674190413,none_ferroelectric
MgH8(ClO6)2,mp-989229,COMPLETED,1.2968,0.0293,7,5.1842,0.1985,0.109,0.07089704723131576,-0.133,-0.01805036760869605,1.0086883649303557,none_ferroelectric
BaTi2O5,mp-555966,COMPLETED,0.1388,0.0057,7,2.2069000000000005,0.0192,0.018,0.0019788689807455793,0.3155999999999999,0.003140978958333207,15.310260776135928,ferroelectric
Ag(CO)2,mp-600237,COMPLETED,0.076,0.0005,10,0.9916,0.0112,0.008,-0.0002534875473145825,-0.011800000000000033,-0.0005193063749997506,0.004571590373395742,ferroelectric
RbCuCl3,mp-571305,DEFUSED,0.0533,0.001,10,0.3007,0.016,0.007,0.004496982841608291,-0.08889999999999998,null,null,none_ferroelectric
GaN5O14,mp-541950,COMPLETED,0.5644,0.0178,77,1.2656,0.1175,0.085,-0.02119411919962626,0.06509999999999994,0.0021530070000004287,0.029288946162179443,ferroelectric
Li4CO4,mp-550320,COMPLETED,0.6457,0.0589,116,5.05,0.2648,0.619,0.14764668394495706,-1.2615999999999996,0.058191649999998596,48.99224894689367,ferroelectric
K4CO4,mp-551561,COMPLETED,0.3228,0.0286,116,1.9965999999999997,0.1503,0.255,0.033363453340683864,-0.4657,0.006261023888888495,16.653438875650806,ferroelectric
RbCrCl3,mp-568864,DEFUSED,0.0615,0.0036,10,0.4712000000000003,0.0161,0.006,-0.006553988391355353,-0.054200000000000026,null,null,none_ferroelectric
Na4CO4,mp-13274,COMPLETED,0.7047,0.0638,116,2.1832000000000003,0.3024,0.694,0.1410123205583996,-1.1345999999999998,0.02634734222222246,39.173487580322686,ferroelectric
Rb4CO4,mp-551176,COMPLETED,0.35,0.0251,116,1.4061000000000001,0.1483,0.193,0.011044344818955687,1.3837999999999995,0.003062957777777875,14.604929924498254,ferroelectric
Pr(HO)3,mp-625452,COMPLETED,0.2746,0.0091,5,3.7597999999999994,0.0302,0.067,0.0102082223261365,-0.034799999999999276,0.0015243907142847846,0.14299514426806084,ferroelectric
Pr(HO)3,mp-625452,COMPLETED,0.1985,0.0088,170,3.7597999999999994,0.0192,0.024,0.026258767243507314,0.06670000000000087,-0.0001266785714300056,0.14196660692732116,ferroelectric
Te(HO2)2,mp-625526,COMPLETED,1.2009,0.0239,7,1.6931999999999998,0.2782,0.147,0.04393032266370579,-0.04579999999999984,0.012548795000000723,21.94843696329358,none_ferroelectric
MnSbSe2Br,mp-639335,DEFUSED,0.1221,0.0038,49,0.41510000000000025,0.0065,0.029,0.0076379636237157095,-0.13129999999999953,null,null,none_ferroelectric
H4SO5,mp-626448,COMPLETED,0.1887,0.0062,7,5.65,0.0326,0.048,-0.010639360068069868,-0.07760000000000034,-9.406649999998962e-05,1.0302899627475375,ferroelectric
H5IO6,mp-625256,COMPLETED,0.8161,0.0226,7,2.3256,0.0806,0.08,-0.0028605230705049146,-0.15149999999999997,-0.0011379889583329472,0.3167005554400453,ferroelectric
PH3O4,mp-626450,COMPLETED,0.8285,0.025,7,5.666,0.1036,0.055,-0.06351485701436511,-0.24679999999999946,-0.01343375187500051,4.08241526585695,ferroelectric
H5IO6,mp-625256,COMPLETED,1.3556,0.0174,7,2.3256,0.1572,0.151,0.00726486819796861,-0.03359999999999985,0.005273250624999726,28.483235020084688,none_ferroelectric
PH3O4,mp-626450,COMPLETED,0.3953,0.0117,7,5.666,0.0485,0.064,-0.00266385666519214,0.01690000000000058,-0.0028054403124997407,4.082390255898901,ferroelectric
PH3O4,mp-626450,COMPLETED,1.1527,0.0228,7,5.666,0.1588,0.091,-0.007405859074945621,0.026099999999999568,0.010130240312499872,4.082368758203603,none_ferroelectric
Ag2BiO3,mp-561113,COMPLETED,0.3833,0.0078,45,0.5096000000000003,0.0625,0.039,-0.00434470160584779,0.5019999999999998,0.0025263750000004137,14.528007315217412,none_ferroelectric
KAuCl4,mp-27181,COMPLETED,0.0507,0.0018,7,1.3919,0.0158,0.012,0.005368013536773183,-0.05059999999999998,0.00013235541666656303,0.2747173515480337,ferroelectric
Fe3O4,mp-612405,DEFUSED,0.1653,0.0109,4,1.0427,0.0286,0.07,-0.015585909553168631,-0.3505999999999996,null,null,none_ferroelectric
Al(HO)3,mp-626587,COMPLETED,0.7604,0.0075,54,4.9505,0.0879,0.051,-0.0006380064478220569,0.04290000000000038,0.008066327321428979,8.11134611772383,ferroelectric
SiO2,mp-553881,DEFUSED,1.4709,0.1955,218,3.5967,0.7046,1.536,0.35395069469682805,2.2030000000000007,null,null,none_ferroelectric
Ti3(BiO3)4,mp-723064,COMPLETED,0.553,0.0071,132,2.3579,0.1096,0.09,0.02910591964858351,0.9901999999999997,0.06185247499999935,58.0511491220694,ferroelectric
K4CO4,mp-605843,COMPLETED,0.2446,0.018,113,2.1884,0.0646,0.091,0.0029396029011685932,-0.11950000000000038,0.0024171494444447106,10.158982344529756,ferroelectric
SiO2,mp-557881,COMPLETED,0.1272,0.0007,4,5.5258,0.0199,0.009,-0.0027320673887880026,0.010600000000000165,-0.00039171861111064743,0.016776652225272144,ferroelectric
