fold,auc,accuracy,recall,precision,f1,threshold
1,0.9944539880092377,0.9823489477257298,0.8320610687022901,0.9646017699115044,0.8934426229508197,0.7000000000000002
2,0.9833790286799924,0.9823489477257298,0.8778625954198473,0.92,0.8984375,0.30000000000000004
3,0.9962400882811345,0.9871011541072641,0.9083969465648855,0.9444444444444444,0.9260700389105059,0.7500000000000002
4,0.9795081967213114,0.9755600814663951,0.8320610687022901,0.8861788617886179,0.8582677165354331,0.7000000000000002
5,0.991325468424705,0.9871011541072641,0.9389312977099237,0.917910447761194,0.9283018867924528,0.15000000000000002
